city,station,year,annual_avg,source_url,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12
Новокузнецк,18.0,2009,5.2,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,7.6,7.0,5.0,4.7,4.6,3.5,2.8,2.4,3.8,7.3,6.4,7.2
Новокуйбышевск,1.0,2009,1.5,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,3.0,2.7,2.2,2.0,1.1,0.9,0.5,0.4,0.5,0.8,1.5,2.2
Новокуйбышевск,4.0,2009,1.4,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,2.2,2.0,1.8,1.8,1.4,1.0,0.6,0.3,0.4,1.5,1.7,2.1
Новомосковск,2.0,2009,1.5,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,2.4,2.3,2.0,1.6,1.4,0.6,0.7,0.8,1.0,1.4,1.6,2.2
Новосибирск,1.0,2009,2.2,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,3.2,4.0,2.5,2.4,1.5,1.0,1.4,1.3,1.4,1.6,2.5,3.4
Новосибирск,21.0,2009,2.9,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,4.0,4.5,3.3,2.8,4.0,1.3,1.3,1.5,2.3,2.5,3.4,4.0
Новосибирск,25.0,2009,2.4,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,3.0,3.2,2.0,3.0,4.6,0.7,1.5,0.9,1.4,2.1,3.0,3.8
Новочебоксарск,1.0,2009,1.9,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,3.3,3.0,2.5,1.3,1.0,0.6,0.4,1.0,0.8,1.0,3.4,3.9
Норильск,3.0,2009,1.4,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,2.6,2.2,1.6,1.2,1.2,0.6,1.1,0.6,1.1,1.3,1.8,2.0
Омск,7.0,2009,1.8,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,3.0,2.6,2.2,1.9,1.5,1.1,0.5,0.9,1.6,1.4,2.3,3.1
Омск,26.0,2009,2.6,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,3.7,3.6,2.8,2.1,1.7,2.9,0.7,0.9,1.4,2.2,4.2,4.5
Омск,27.0,2009,2.6,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,4.5,4.2,3.7,3.0,2.0,1.2,0.5,0.6,1.6,3.1,3.2,3.6
Орел,3.0,2009,2.0,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,4.0,3.2,2.8,2.6,1.5,1.1,1.0,0.6,1.2,1.5,1.7,2.7
Оренбург,2.0,2009,1.8,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,3.0,2.6,2.4,1.5,1.1,0.9,0.4,0.5,1.1,2.3,2.8,3.1
Оренбург,6.0,2009,1.4,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,2.3,2.0,1.8,1.2,0.7,0.7,0.7,0.6,0.9,1.6,2.0,2.5
Орск,4.0,2009,1.1,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,2.0,1.8,1.2,1.0,0.6,0.5,0.4,0.2,0.4,0.9,1.6,2.0
Орск,5.0,2009,1.2,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,2.2,2.0,1.5,1.2,0.8,0.7,0.4,0.2,0.3,0.4,1.2,3.1
Пенза,3.0,2009,1.4,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,2.8,2.4,1.8,1.3,1.0,0.6,0.3,1.0,0.8,1.2,1.5,2.6
Петрозаводск,3.0,2009,2.0,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,3.0,3.5,2.3,1.8,1.2,1.3,1.1,0.4,1.0,1.5,4.0,2.7
Подольск,1.0,2009,2.2,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,4.1,2.7,1.8,1.7,1.6,1.4,0.6,0.8,1.2,1.4,1.6,2.0
Прокопьевск,5.0,2009,2.3,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,4.0,3.4,3.7,3.0,1.6,1.4,0.6,0.5,0.8,1.5,3.4,3.9
Псков,3.0,2009,1.3,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,1.9,2.0,1.6,1.3,1.0,1.5,0.5,0.3,0.5,1.0,2.0,2.4
Пятигорск,1.0,2009,1.7,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,2.4,1.5,1.0,0.9,0.8,0.5,0.2,0.2,0.9,1.2,1.5,1.8
Ростов­на­Дону,52.0,2009,2.1,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,2.3,3.0,2.6,2.5,1.6,1.0,1.3,2.3,1.2,1.3,2.5,3.1
Ростов­на­Дону,55.0,2009,1.9,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,4.6,3.3,2.3,1.5,1.0,0.8,0.4,0.5,0.9,1.2,2.8,3.5
Рязань,3.0,2009,2.8,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,4.0,2.9,2.4,2.2,2.0,1.7,0.5,0.7,1.8,2.0,5.1,8.0
Рязань,6.0,2009,1.6,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,3.6,1.8,2.1,1.7,1.5,1.4,0.8,0.9,1.0,1.2,1.7,2.0
Салехард,1.0,2009,1.7,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,4.2,3.0,2.2,2.0,1.5,1.4,0.5,0.4,0.6,1.5,1.8,2.2
Самара,7.0,2009,1.8,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,3.0,2.8,2.2,1.8,1.9,1.2,0.7,0.7,2.1,1.0,1.6,2.0
Самара,8.0,2009,1.4,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,2.5,2.2,1.5,1.3,1.4,1.1,0.8,0.5,0.8,0.9,1.8,2.3
Самара,11.0,2009,1.8,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,4.1,3.2,2.0,1.6,1.7,1.5,0.6,0.4,0.7,0.8,1.9,3.4
Санкт­Петербург,1.0,2009,1.3,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,2.6,2.3,2.0,1.5,1.0,0.9,0.4,0.2,0.4,0.9,1.5,2.2
Санкт­Петербург,2.0,2009,1.5,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,2.4,3.0,2.2,1.8,1.2,0.8,0.5,0.7,0.5,1.2,1.7,2.5
Санкт­Петербург,4.0,2009,1.6,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,2.8,3.2,1.8,2.0,1.1,1.0,0.6,1.0,1.0,1.4,1.5,2.0
Санкт­Петербург,7.0,2009,1.5,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,2.2,3.2,2.0,1.7,1.3,1.1,0.7,0.5,1.3,0.9,1.3,1.9
Санкт­Петербург,10.0,2009,2.1,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,3.4,4.0,3.1,3.3,1.5,1.5,0.7,0.9,1.0,1.6,1.8,3.0
Санкт­Петербург,12.0,2009,1.6,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,2.8,3.2,2.0,1.8,1.4,1.0,1.2,0.4,0.6,0.8,1.1,2.5
Санкт­Петербург,27.0,2009,1.5,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,1.9,2.0,2.0,2.2,1.1,0.8,0.4,1.0,0.9,1.1,1.8,2.7
Саранск,3.0,2009,2.6,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,3.4,3.0,2.8,1.8,1.6,1.7,1.4,1.8,1.6,2.0,2.3,7.4
Саратов,1.0,2009,2.0,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,3.8,2.6,2.1,1.5,1.5,1.3,0.8,0.7,1.9,3.0,2.6,3.2
Саратов,2.0,2009,2.0,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,3.3,2.3,2.4,2.0,2.2,1.5,1.2,0.6,0.8,2.2,2.5,3.4
Саратов,5.0,2009,1.5,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,2.2,2.0,2.2,1.6,1.3,1.1,0.9,0.5,1.1,1.0,2.0,2.5
Саяногорск,2.0,2009,2.2,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,3.6,3.1,2.8,2.5,2.0,1.2,0.7,1.0,0.8,1.5,3.0,4.5
