city,station,year,month_id,date,value,annual_avg,source_url
Нерюнгри,3.0,2009,1,2009-01-01,3.0,1.6,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Нижнекамск,1.0,2009,1,2009-01-01,2.9,2.0,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Новокузнецк,2.0,2009,1,2009-01-01,5.0,3.5,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Новокузнецк,10.0,2009,1,2009-01-01,6.7,5.1,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Новокузнецк,18.0,2009,1,2009-01-01,7.6,5.2,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Новокуйбышевск,1.0,2009,1,2009-01-01,3.0,1.5,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Новокуйбышевск,4.0,2009,1,2009-01-01,2.2,1.4,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Новомосковск,2.0,2009,1,2009-01-01,2.4,1.5,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Новосибирск,1.0,2009,1,2009-01-01,3.2,2.2,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Новосибирск,21.0,2009,1,2009-01-01,4.0,2.9,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Новосибирск,25.0,2009,1,2009-01-01,3.0,2.4,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Новочебоксарск,1.0,2009,1,2009-01-01,3.3,1.9,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Норильск,3.0,2009,1,2009-01-01,2.6,1.4,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Омск,7.0,2009,1,2009-01-01,3.0,1.8,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Омск,26.0,2009,1,2009-01-01,3.7,2.6,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Омск,27.0,2009,1,2009-01-01,4.5,2.6,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Орел,3.0,2009,1,2009-01-01,4.0,2.0,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Оренбург,2.0,2009,1,2009-01-01,3.0,1.8,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Оренбург,6.0,2009,1,2009-01-01,2.3,1.4,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Орск,4.0,2009,1,2009-01-01,2.0,1.1,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Орск,5.0,2009,1,2009-01-01,2.2,1.2,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Пенза,3.0,2009,1,2009-01-01,2.8,1.4,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Петрозаводск,3.0,2009,1,2009-01-01,3.0,2.0,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Подольск,1.0,2009,1,2009-01-01,4.1,2.2,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Прокопьевск,5.0,2009,1,2009-01-01,4.0,2.3,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Псков,3.0,2009,1,2009-01-01,1.9,1.3,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Пятигорск,1.0,2009,1,2009-01-01,2.4,1.7,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Ростов­на­Дону,52.0,2009,1,2009-01-01,2.3,2.1,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Ростов­на­Дону,55.0,2009,1,2009-01-01,4.6,1.9,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Рязань,3.0,2009,1,2009-01-01,4.0,2.8,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Рязань,6.0,2009,1,2009-01-01,3.6,1.6,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Салехард,1.0,2009,1,2009-01-01,4.2,1.7,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Самара,7.0,2009,1,2009-01-01,3.0,1.8,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Самара,8.0,2009,1,2009-01-01,2.5,1.4,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Самара,11.0,2009,1,2009-01-01,4.1,1.8,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Санкт­Петербург,1.0,2009,1,2009-01-01,2.6,1.3,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Санкт­Петербург,2.0,2009,1,2009-01-01,2.4,1.5,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Санкт­Петербург,4.0,2009,1,2009-01-01,2.8,1.6,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Санкт­Петербург,7.0,2009,1,2009-01-01,2.2,1.5,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Санкт­Петербург,10.0,2009,1,2009-01-01,3.4,2.1,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Санкт­Петербург,12.0,2009,1,2009-01-01,2.8,1.6,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Санкт­Петербург,27.0,2009,1,2009-01-01,1.9,1.5,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Саранск,3.0,2009,1,2009-01-01,3.4,2.6,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Саратов,1.0,2009,1,2009-01-01,3.8,2.0,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Саратов,2.0,2009,1,2009-01-01,3.3,2.0,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Саратов,5.0,2009,1,2009-01-01,2.2,1.5,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Саяногорск,2.0,2009,1,2009-01-01,3.6,2.2,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Саянск,3.0,2009,1,2009-01-01,2.7,1.5,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Селингинск,1.0,2009,1,2009-01-01,7.0,3.5,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Серпухов,3.0,2009,1,2009-01-01,4.4,2.1,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Смоленск,5.0,2009,1,2009-01-01,3.4,1.8,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Ставрополь,7.0,2009,1,2009-01-01,3.5,1.5,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Старый Оскол,1.0,2009,1,2009-01-01,4.0,1.9,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Старый Оскол,2.0,2009,1,2009-01-01,4.1,1.9,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Старый Оскол,13.0,2009,1,2009-01-01,3.6,1.8,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Сургут,1.0,2009,1,2009-01-01,2.5,1.4,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Сызрань,2.0,2009,1,2009-01-01,4.5,1.9,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Сызрань,3.0,2009,1,2009-01-01,3.2,1.3,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Сыктывкар,9.0,2009,1,2009-01-01,4.2,2.1,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Сыктывкар,10.0,2009,1,2009-01-01,2.7,1.5,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Таганрог,2.0,2009,1,2009-01-01,3.2,1.6,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Тамбов,1.0,2009,1,2009-01-01,3.6,1.6,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Тверь,1.0,2009,1,2009-01-01,3.6,2.2,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Тольятти,2.0,2009,1,2009-01-01,2.6,1.8,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Тольятти,7.0,2009,1,2009-01-01,3.3,1.8,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Томск,2.0,2009,1,2009-01-01,3.8,2.0,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Туймазы,1.0,2009,1,2009-01-01,2.2,1.3,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Тула,1.0,2009,1,2009-01-01,4.2,2.2,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Тула,9.0,2009,1,2009-01-01,3.6,1.7,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Тюмень,3.0,2009,1,2009-01-01,4.0,2.4,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Улан­Удэ,1.0,2009,1,2009-01-01,7.1,4.0,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Улан­Удэ,2.0,2009,1,2009-01-01,5.0,3.2,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Ульяновск,4.0,2009,1,2009-01-01,2.2,1.1,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Ульяновск,5.0,2009,1,2009-01-01,2.0,1.1,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
